PINNED:Game won't start,k1mon,0,"[b]For players with 10th Gen Intel CPUs or newer (11, 12, 13, etc.):[\/b]\n[olist]\n    [*]Open the System menu in Settings with \u229e Win+Pause\n    [*]Select Advanced system settings\n    [*]In the new System properties window, select the Advanced tab and click the Environment Variables button\n    [*]In the System variables section, click the New button and enter these values:\nVariable name: OPENSSL_ia32cap\nVariable value: :~0x20000000\n    [*]Reboot or sign out\/sign in.\n[\/olist]\n\n[b]For all other CPUs or if the above didn't work:[\/b]\n\nPlease try disconnecting your internet or blocking the game's internet access through your firewall, and the game should launch normally.\n\nTo do the second:\n[olist]\n    [*]Select the Start menu, type Allow an app through Windows Firewall, and from the list of results, scroll down to Hello Neighbor\n    [*]Select Change settings. You might be asked for an administrator password or to confirm your choice\n    [*]To remove an app, clear the check box next to the app, and then select OK\n    [*]Start the game and press Cancel when prompted by Windows to add it to the Firewall exceptions\n[\/olist]\n\nThis should also work with and without mods, so if you are playing with mods, please make sure the ones you want to use are subscribed to\/downloaded before you can disconnect your internet connection.\n\n[b]If nothing of the above resolves the crash on launch for you[\/b], please refer to the rest of our [url=https:\/\/tinybuildgames.zendesk.com\/hc\/en-us\/categories\/5763416387988-Troubleshooting] Troubleshooting articles [\/url], or contact our [url=https:\/\/tinybuildgames.zendesk.com\/hc\/en-us\/requests\/new] Player Support [\/url].",https://steamcommunity.com/app/521890/discussions/1/3318611373470607839/
PINNED:Troubleshooting & Sharing Corrupted Save Files,Cutecutecute,10,"Hi there!\n\nA troubleshooting guide for common issues is here: https:\/\/tinybuildgames.zendesk.com\/hc\/en-us\n\nIf this doesn't help, please post a thread on the forum. We're reading all of them.\n\nIf you had a save file corruption issue, please send your save file via Submit a request form in our Help Center.\n\nThe save file is located at ..\\users\\username\\AppData\\Local\\HelloNeighbor\\SaveGames",https://steamcommunity.com/app/521890/discussions/1/3318610798937638616/
Game crashes when i open the game pls help,Oprion,5,"LowLevelFatalError [File:Unknown] [Line: 251]\nResult failed\nat\nc:\\work\\.git\\UE4_20\\Engine\\Source\\Runtime\\Windows\\D3D11RHI\\Privat\ne\\D3D11Viewport.cpp:304\nwith error E_FAIL\n\nim opening game and i saw this all times,I verified file integrity ,i deleted game 3 times, but still doesn't work, what am i suppose to do ?",https://steamcommunity.com/app/521890/discussions/1/3830916907604491475/
Audio,moony,0,"I've had this bug just now where I paused the game, I've heard how neighbor was walking on the grass. Unpaused it, and sound still was there even tho he wasn't walking on the grass. And it never stopped. I decided to relaunch the game, and sound continued even in main menu, and stopped in 5 sec after I closed the game",https://steamcommunity.com/app/521890/discussions/1/4039229582009739165/
Не запускается игра,Nikolaich,22,"\u0421\u0435\u0433\u043e\u0434\u043d\u044f \u043a\u0443\u043f\u0438\u043b \u0438\u0433\u0440\u0443, \u0443\u0441\u0442\u0430\u043d\u043e\u0432\u0438\u043b, \u043d\u0430\u0436\u0438\u043c\u0430\u044e \u0438\u0433\u0440\u0430\u0442\u044c \u0434\u0430\u043b\u044c\u0448\u0435 \u043f\u043e\u044f\u0432\u043b\u044f\u0435\u0442\u0441\u044f \u0437\u0430\u0441\u0442\u0430\u0432\u043a\u0430 \u0441 \u0447\u0430\u0441\u0430\u043c\u0438 \u043d\u0430 3-5 \u0441\u0435\u043a\u0443\u043d\u0434 \u0438 \u0438\u0433\u0440\u0430 \u0432\u044b\u043b\u0435\u0442\u0430\u0435\u0442. \u0427\u0442\u043e \u0434\u0435\u043b\u0430\u0442\u044c \u0438 \u043a\u0430\u043a \u043f\u043e\u0438\u0433\u0440\u0430\u0442\u044c?",https://steamcommunity.com/app/521890/discussions/1/3945776779137512246/
Модификации в Hello Neighbor,Memento Mori,0,"\u0412\u0441\u0435 \u043c\u043e\u0434\u0438\u0444\u0438\u043a\u0430\u0446\u0438\u0438, \u043a\u043e\u0442\u043e\u0440\u044b\u0435 \u044f \u0443\u0441\u0442\u0430\u043d\u0430\u0432\u043b\u0438\u0432\u0430\u043b \u0443\u0434\u0430\u043b\u0438\u043b\u0438\u0441\u044c \u043f\u043e\u0441\u043b\u0435 \u043f\u0435\u0440\u0435\u0443\u0441\u0442\u0430\u043d\u043e\u0432\u043a\u0438 \u0441\u0430\u043c\u043e\u0433\u043e \u0441\u043e\u0441\u0435\u0434\u0430, \u0447\u0442\u043e \u0434\u0435\u043b\u0430\u0442\u044c",https://steamcommunity.com/app/521890/discussions/1/5971271978944050219/
Не запускается игра,Nikolaich,0,"\u0421\u0435\u0433\u043e\u0434\u043d\u044f \u043a\u0443\u043f\u0438\u043b \u0438\u0433\u0440\u0443, \u0443\u0441\u0442\u0430\u043d\u043e\u0432\u0438\u043b, \u043d\u0430\u0436\u0438\u043c\u0430\u044e \u0438\u0433\u0440\u0430\u0442\u044c \u0434\u0430\u043b\u044c\u0448\u0435 \u043f\u043e\u044f\u0432\u043b\u044f\u0435\u0442\u0441\u044f \u0437\u0430\u0441\u0442\u0430\u0432\u043a\u0430 \u0441 \u0447\u0430\u0441\u0430\u043c\u0438 \u043d\u0430 3-5 \u0441\u0435\u043a\u0443\u043d\u0434 \u0438 \u0438\u0433\u0440\u0430 \u0432\u044b\u043b\u0435\u0442\u0430\u0435\u0442. \u0427\u0442\u043e \u0434\u0435\u043b\u0430\u0442\u044c \u0438 \u043a\u0430\u043a \u043f\u043e\u0438\u0433\u0440\u0430\u0442\u044c?",https://steamcommunity.com/app/521890/discussions/1/3945776362355449042/
Game crashes on startup,King of Silly,13,"Just bought (less than 30 min ago), crashes when showing the Clock icon, i have accepted the permissions needed",https://steamcommunity.com/app/521890/discussions/1/3807282258515271134/
Проблема с игрой hello neighbor,_kaplya_,2,"\u041f\u0440\u0438 \u0437\u0430\u043f\u0443\u0441\u043a\u0435 \u0438\u0433\u0440\u0430 \u0444\u0440\u0438\u0437\u0438\u0442 \u0430 \u043d\u0430 \u044d\u043a\u0440\u0430\u043d\u0435 \u0441 \u043d\u0430\u0434\u043f\u0438\u0441\u044c\u044e tinybuild \u0438\u0433\u0440\u0430 \u0437\u0430\u0432\u0438\u0441\u0430\u0435\u0442 \u0438 \u0434\u0430\u043b\u044c\u0448\u0435 \u043d\u0435 \u0440\u0430\u0431\u043e\u0442\u0430\u0435\u0442, \u043f\u0440\u0438 \u044d\u0442\u043e\u043c \u043c\u0443\u0437\u044b\u043a\u0430 \u0438\u0434\u0451\u0442 \u0438 \u0435\u0441\u0442\u044c \u0437\u0432\u0443\u043a \u0447\u0430\u0441\u043e\u0432. \u0412 \u0434\u0438\u0441\u043f\u0435\u0447\u0435\u0440\u0435 \u0437\u0430\u0434\u0430\u0447 \u043d\u0430\u043f\u0438\u0441\u0430\u043d\u043d\u043e \u0447\u0442\u043e \u0438\u0433\u0440\u0430 \u043d\u0435 \u043e\u0442\u0432\u0435\u0447\u0430\u0435\u0442. \u0421\u0442\u0430\u043b\u043a\u043d\u0443\u043b\u0441\u044f \u0441 \u043f\u0440\u043e\u0431\u043b\u0435\u043c\u043e\u0439 \u043f\u043e\u0441\u043b\u0435 \u043f\u0435\u0440\u0443\u0441\u0442\u0430\u043d\u043e\u0432\u043a\u0438 \u0438\u0433\u0440\u044b \u043f\u0435\u0440\u0435\u0443\u0441\u0442\u0430\u043d\u043e\u0432\u0438\u043b \u0435\u0449\u0435 \u0440\u0430\u0437 \u043d\u0435 \u043f\u043e\u043b\u0443\u0447\u0438\u043b\u043e\u0441\u044c \u0440\u0435\u0448\u0438\u0442\u044c \u043f\u0440\u043e\u0448\u0443 \u043f\u043e\u043c\u043e\u0447\u044c.",https://steamcommunity.com/app/521890/discussions/1/3874840863853225049/
When I play the game the tab for it is small but then I try to fullscreen it but then when I do it makes everything in the game blurry and some more weird problems,spencerkes2011,1,Can anyone tell me why the game is doing this?w,https://steamcommunity.com/app/521890/discussions/1/3880470997347664952/
AÇILMIYOR,BneLevo,5,oyunu a\u00e7\u0131yorum saat \u00e7\u0131k\u0131yor sonra oyundan at\u0131yor nas\u0131l \u00e7\u00f6zebilirim,https://steamcommunity.com/app/521890/discussions/1/3824172831334090141/
"Hello Neighbor inicia el juego pero no me dejar dar ""Enter"" para iniciar el menu",Paulodybala21,1,"Hola buenas, compre Hello Neighbor 1, el juego inicia, pero solo llega hasta donde me pide presionar enter y presion\u00f3 enter pero no deja avanzar",https://steamcommunity.com/app/521890/discussions/1/6266252158289388849/
the game doesn't open,Vini,1,the game doesn't open,https://steamcommunity.com/app/521890/discussions/1/6266252158287826676/
Игра не сразу-же вылетает что делать?,нагетс,1,"\u043f\u0440\u043e\u0445\u043e\u0434\u0438\u0442 \u0447\u0435\u0440\u043d\u044b\u0439 \u0444\u043e\u043d \u0441 \u0447\u0430\u0441\u0430\u043c\u0438 \u0438 \u0432\u0441\u0435, \u0438\u0433\u0440\u0430 \u0432\u044b\u043b\u0435\u0442\u0430\u0435\u0442",https://steamcommunity.com/app/521890/discussions/1/6266252158287826331/
Cannot Play Game Because Network.,TheBiongBhon688,1,"I read the devs message but its probably because i have a LAPTOP, A ACER LAPTOP.",https://steamcommunity.com/app/521890/discussions/1/6266252158287824552/
Помогите с решение проблемы!!!,MAO,2,\u043f\u0440\u0438 \u0437\u0430\u043f\u0443\u0441\u043a\u0435 \u0438\u0433\u0440\u044b \u0438\u0433\u0440\u0430 \u0437\u0430\u0433\u0440\u0443\u0436\u0430\u0435\u0442\u0441\u044f \u0430 \u043f\u043e\u0442\u043e\u043c \u0441\u0430\u043c\u0430\u0436\u0435 \u0437\u0430\u043a\u0440\u044b\u0432\u0430\u0435\u0442\u0441\u044f \u0431\u0435\u0437 \u043e\u0448\u0438\u0431\u043a\u0438,https://steamcommunity.com/app/521890/discussions/1/6266252158287822838/
Игра сразу-же вылетает что делать?,нагетс,4,"\u043f\u0440\u043e\u0445\u043e\u0434\u0438\u0442 \u0447\u0435\u0440\u043d\u044b\u0439 \u0444\u043e\u043d \u0441 \u0447\u0430\u0441\u0430\u043c\u0438 \u0438 \u0432\u0441\u0435, \u0438\u0433\u0440\u0430 \u0432\u044b\u043b\u0435\u0442\u0430\u0435\u0442",https://steamcommunity.com/app/521890/discussions/1/6266252158287823617/
The Neighbor flies,Diavol X,0,I was playing I wanted to burgle the neighbor's house in act 1 but the neighbor took (I didn't know he could do that) the TV so I heard strange sounds and I started seeing the Neighbor flying holding the TV the problem was that the last time that I made him fly away because he kicked an armchair while he was on it and started flying so far that he fell off the map and the game crashed. so he was now under the map and was slowly going down until the game crashed but luckily he had grabbed me first and brought me to the neighbor's nightmare so the game had automatically saved and when it crashed I was back at the same point I entered the house I took the bucket and before he went to where the TV is I took it away from him,https://steamcommunity.com/app/521890/discussions/1/6266251726415120397/
Mods dont appear ingame,Maximos Ve,0,"I install mods but they do not appear ingame. I checked the mods folder and the mods are installed, but does not appear ingame",https://steamcommunity.com/app/521890/discussions/1/6266251726412088614/
How do I fix this,GooberGaming,2,I wanted to play hello neighbor but for some reason when I started it all of the screen things like the menu is a bit small but the games main screen is not small so how do I fix this,https://steamcommunity.com/app/521890/discussions/1/6266252158287827291/
crash,MYSTIC,1,des que je lance mon jeu il se ferme,https://steamcommunity.com/app/521890/discussions/1/3824172831338036859/
Game won't start,cat_man3000,6,\u043f\u043e\u0447\u0435\u043c\u0443 \u0443 \u043c\u0435\u043d\u044f \u0437\u0430\u043a\u0440\u044b\u0432\u0430\u0435\u0442\u0441\u044f \u0438\u0433\u0440\u0430 \u043f\u043e\u0441\u043b\u0435 \u043d\u0435\u0441\u043a\u043e\u043b\u043a\u0438\u0445 \u0441\u0435\u043a\u0443\u043d\u0434 \u043e\u0442\u043a\u0440\u0438\u0442\u0438\u044f?\n \nWhy do it close the game after a few seconds of opening?,https://steamcommunity.com/app/521890/discussions/1/3824172831334096108/
Got so many Crashes at Act 3,L00n4tic,1,"\u2665\u2665\u2665\u2665\u2665\u2665\u2665\u2665 i got so many crashes in act 3 , anyone else and try to fix it?",https://steamcommunity.com/app/521890/discussions/1/3824172831334087349/
cant play,ernestoper34,5,when i click the play it dosnt let me play it just kicks me out,https://steamcommunity.com/app/521890/discussions/1/3807282258515274752/
Inputs not working on title screen,NormireX,0,Game gets to title screen but none of the keyboard keys do anything nor does any buttons on a controller.,https://steamcommunity.com/app/521890/discussions/1/3807282428860076815/
HELP ME MY GAME IS HAVING A PROBLEM,Burger Cat.,4,"WHEN I START IT SAYS \""failed to load plugin\"" Then it shows 3 mods Second problem After I Start It Freezes At TinyBuild I NEED HELP",https://steamcommunity.com/app/521890/discussions/1/5782106519346462670/
i can't play,radicalrippley,6,"when i start the game it says \""files corrupted, please verify installations\"" then i get a black screen. if anyone knows how to fix that please tell me !!!",https://steamcommunity.com/app/521890/discussions/1/3811780955331404996/
Crashes,gdyeetus,3,"Once The Main Menu Loads, The Game Crashes.\nHow Do I Fix It?",https://steamcommunity.com/app/521890/discussions/1/3811780955331408994/
All the Keys don't open thd doors,mario.primo,0,with any key I try to open the respective doors they do not work,https://steamcommunity.com/app/521890/discussions/1/3834298505958547542/
help me pls,Emir,4,"I was able to open this game on my old computer, but I switched to a new and better computer, but it doesn't open anymore, when I try to open the game, it closes on the loading screen, please help",https://steamcommunity.com/app/521890/discussions/1/3829793451745894786/
"Help! When I try to run Hello Neighbor, It opens the tab then stops running!",Lil Sebs,4,try to run but closes the tab,https://steamcommunity.com/app/521890/discussions/1/3827541017493401031/
Crash,7002tsd,1,"When I open the game, it stays in the screen of the clock loading (the first loading screen) and then it crashes. Someone knows what could it be?",https://steamcommunity.com/app/521890/discussions/1/3827540383542423966/
HELP HELP HELP!,QutisBrutus,10,"HELP, I PLAYED HELLO NEIGHBOR ON ANOTHER MONITOR AND NOW THE RESOLUTION IS STUCK ON 1280 x 720 AND THAT IS THE MAX RESOLUTION HEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEELP!!!!!!!!",https://steamcommunity.com/app/521890/discussions/1/3765607648969885585/
Запуск игры,ЛиАЗ 5256.53,1,"\u0417\u0434\u0440\u0430\u0432\u0441\u0442\u0432\u0443\u0439\u0442\u0435, \u0440\u0430\u0437\u0440\u0430\u0431\u043e\u0442\u0447\u0438\u043a\u0438. \u0417\u0440\u044f \u0443 \u0432\u0430\u0441 \u043a\u0443\u043f\u0438\u043b \u0438\u0433\u0440\u0443! \u0417\u0430\u043f\u0443\u0441\u043a\u0430\u044e \u0438\u0433\u0440\u0443, \u0447\u0430\u0441\u0438\u043a\u0438 \u043d\u0430\u0447\u0438\u043d\u0430\u044e\u0442 \u043a\u0440\u0443\u0442\u0438\u0442\u044c\u0441\u044f, \u0430 \u0437\u0430\u0442\u0435\u043c \u0441\u0440\u0430\u0437\u0443 \u0432\u044b\u043b\u0435\u0442\u0430\u0435\u0442. \u041f\u043e\u0434\u0441\u043a\u0430\u0436\u0438\u0442\u0435, \u0447\u0442\u043e \u043c\u043d\u0435 \u0434\u0435\u043b\u0430\u0442\u044c \u0432 \u044d\u0442\u043e\u0439 \u0441\u0438\u0442\u0443\u0430\u0446\u0438\u0438.",https://steamcommunity.com/app/521890/discussions/1/6169410992325497021/
Game does not start,pataklapat,4,I've been trying to launch this game and unfortunately no luck.,https://steamcommunity.com/app/521890/discussions/1/3826410479313363037/
yapacağınız oyunun damına sarkayım,ahmijumping,2,bu mk oyununa para \u00f6dediysem neden korsan oyun oynar gibi wi-fi yi kapatmam gerekiyor,https://steamcommunity.com/app/521890/discussions/1/3828664382482899541/
audio does not work properly,RANGOD,0,every time I press escape i can hear a little *pip* but aside from that there is no game audio. I have restarted the game and my computer as well as messing with audio settings but to no avail. I am genuinely surprised there is no audio settings menu in this game,https://steamcommunity.com/app/521890/discussions/1/3828664145919398933/
when i click play the game is closing,bigwik,1,I only want to play the hello neighbor :(,https://steamcommunity.com/app/521890/discussions/1/5769715023489938382/
I lost item to pass the game,Karlo178,0,When I was putting globe in frige its just disapear or something.,https://steamcommunity.com/app/521890/discussions/1/3820781363201156931/
